text,label
adilnisarbutt pakistan ka ghra tauq he pakistan israel ko tasleem nahein kerta isko palestine kehta he occupied palestine,1
madarchod mulle ye mathura me nahi dikha tha jab mullo ne hindu ko iss liye mara ki vo lasse ki paise mag liye the t co oxf8tr3bly,1
narendramodi manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri banne par hardik badhai tahe dil t co prnomskkn1,0
atheist krishna jcb full trend me chal rahi aa,0
abhisharsharma ravishkumarblog loksabha me janta sirf modi ko vote de rahi thi na ki kisi mp or bjp ko without m t co shtbwcb7fm,0
noirnaveed angelahana6 cricketworldcup bhosdike tum pechvade ki tatti hi rahoge bc,1
love u bhaijan father son bharat iambharat bharatthiseid best pic from entire promotions mashallah t co s2xhwu6lud,0
manojgajjar111 tumhara pass abh deemagh hai nahi islea google ko apna deemagh banaya hua hai har koi tumhari tarh t co bxueug3xsn,1
mahlogo nolo weni ankere o gae this weekend,0
aurangzeb aimim sachins40805591 lage raho mullo tumhre issi quran faad gyan ki kayal hain duniya allah bhi khus t co gha9dwnz6u,1
reema omer bushragohar qasimkhansuri ali muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak t co r7pjojnwre,1
cooladitaya khanumarfa ye sale is desh ke kabhi sage nahin ho sakte ye gaddar hain inke sath kadi se kadi kanun t co 0huukv4zk2,1
hyun7ln saf baby i m sorry i wasn t online i hope you re sleeping well though i love you,0
nevveon real life k log chor diye hain mene already jo snakes thy ab internet k chorne hain i'm sad for no reason solmon,1
mjdawar mohsin dawartweets daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan t co i9vb0emof3,1
anupampkher kuch media channel dikh rahe hai ki inke upar kai prakaar ke criminal cases hai shame on this type of media channel,1
ekthaengg anupampkher abe mc nhi malum to ammi mat chuda bsdk grahm stains ko dara singh ne mara tha adivasiy t co cl4elcdue8,1
tamashbeen well chara chor ke chele this news is a year old,1
twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai t co apkd4g8lh0,0
oh haha the soldier is reading american gods hardy har har thanks for reminding everyone of your other clusterfuck,1
asadowaisi pmoindia mp me govt kamalnath ki h wese ek or video viral h jisme aapke shantidut bhai ek dukandar t co dolm3oddcs,1
idevadhikari dev da tmr new movie song ami tmk valobasi i really loved a lot,2
abe bc kya le jayenge yeh toh batah abhi pakvwi babaji ka thullu t co rtzucwcqxa,0
i hope i see my baby this weekend but highly doubt it ugh,2
desistupides teri ma ka sakinaka tujhe bhadi chinta ho rahi aaj ab 2014 se pehle bhadve log bethe the tab tu dudh t co ne5qxi2aro,1
rubikaliyaquat isko zammene chayiye bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul me pm dikh t co hirigg0wnt,2
askanshul jai shri ram jai shri krishna jai bajrang bali jai bholenath hum log bolne lage to rukenge nahi t co atybgsp5qe,1
praneeth rao indiahistorypic hindi tumhari bass ki nahi nahi seekh paoge darte ho kahin hindi me marks hi nahi t co 23t3ylapse,1
talhaghouri786 shahidmemon20 hamyat tu khota khor corrupt ganje ki bhi kerte thy kia ukhar lia unhon ne lanat tere te patwari,1
rt shirai io on sale today nxttakeoverxxv it s my entrance mask quality is very very nice even back side too coming soon ww,0
alee ch1 shabazgil pakeeza language ka istemaal tu koi nooni bhayoon se poochhay youthie pe aewen e criticism karte hain yeh bhi sahb,2
senti gulwish nahi wo is news ko defend kerne ki koshesh ker rhe hain t co uxifr8z0zf,2
rt vikas murali sardesairajdeep noone cares we will boycott world cup till nesamani recovers and his attacker krishnamurthy is arreste,2
m ahmad884 shahnaveid 1971 lulli hoti nahi khadi baten karalo badi badi t co nnkazeex3x,2
rt faizansays23 dho diya ashk e nadamat ne gunahon ko meray tar hua daman to baare paak daman ho gaya momin khan momin,2
kanhaiyakumar kanhaiyakumar beta nafrat tum jaise jahil illiterate failate hain pata nhi kon si phd chal rhi h t co j8puwjmrnv,1
mirchisayema one of my favorites too another one at the beginning of the movie chhoti chhoti chitrayi yaadein t co slaop3nbii,0
waseemali0007 mansoor ali imrankhanpti tera nam taray ander ki jalan btaa raha hai sari duniya main oil price t co ytxzdq5rbz,1
cbhanp jai bheem great news for bahujan kumbkarnaas becoz of whom this is in happening this is the kick st t co 3rxsk19bvd,2
don t u love when the one person that gave a fuck about u is dead,2
maham zaini peaceforchange en ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye aise nahi samaj t co kv53ldcyty,0
tang color tum india wale sari yahi sochti ho ki pakistan wale atankistan h par nhi kuch he log lagti h thik pakistani bhuta achi h,0
sardanarohit rohit bhai i am your big fan want to meet you,0
bavs9zsdts9ytxz ma lanat bhejta hn tun pe or tmare harami leader niazi pe,1
i dont slay atsbb inta seriously nahi leneka segments ko segments are pure fun 80 nonsense and only cast makes sense,1
krkboxoffice kamaalrkhan itsbhushankumar zeemusiccompany kutta bhonkne lga bhaiyo firse sale gale me patt t co qyfzx4o0wl,1
shoaib100mph world cup mein mard nahi khusre gae hein jo larna nahi twitter per zabbasofficial k sath talian bajana jaante hein,1
beingsalmankhan bhaijaan ji please mein apka bahot bahot bada fan hoon please meri jindagi bachalijiye please mein t co y4sxtj6duo,2
babajotwani the scene where sahil proposed to vedika that dialogue was magical indeed coz i haven't heard that t co 6jp3egla5d,0
yadavdimples kanhaiyakumar pbhushan1 a bhauji tohra ka haal ba tu kahe ludhak gailu eka matlab akhilesh bha t co i2j34cv3px,2
scratch that kfc ke bhi auqaat nahi rahee after today's defeat pesay doob gayee sarfi ke chakaar main andaay t co nw2a4ipbbe,1
